left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.7514664,0.8740929,0.9292704,0.6572844,0.6192564,0.7181984,0.4106117,0.7928139,0.8259212,0.8217881,0.6897251,0.7510887,0.7830783,0.8232343,0.91337717,0.91620123,0.84930116,0.87639415,0.8846363,0.9572878
aci,0.8708005,0.868596,0.84867203,0.79684293,0.9081102,0.86420095,0.71266544,0.7693377,0.7417838,0.8080564,0.8036922,0.80949694,0.74631816,0.8935839,0.7797977,0.86981654,0.8445932,0.77802193,0.764171,0.88314456
acn,0.86643636,0.8990323,0.8008789,0.812065,0.85178816,0.77463865,0.68569636,0.8158785,0.58329755,0.8465751,0.85275733,0.8021046,0.9167807,0.6087984,0.82007414,0.8923892,0.8257724,0.7615799,0.869086,0.7393558
aco,0.6988196,0.8372161,0.82822317,0.8358855,0.8547038,0.8905544,0.8794459,0.7123512,0.6979538,0.69877696,0.7627758,0.7302904,0.77589554,0.6959148,0.8384812,0.8250525,0.5830695,0.7363383,0.8824202,0.8495929
acu,0.85530555,0.92050475,0.87819946,0.762013,0.8535876,0.85132134,0.39971316,0.8000874,0.8481186,0.79937077,0.84563,0.5997765,0.7849368,0.77199817,0.784061,0.7902539,0.7403825,0.7617211,0.8632762,0.9246224
acw,0.8555561,0.85335594,0.8862923,0.821026,0.9566125,0.92823637,0.86888015,0.6557772,0.7691575,0.54375887,0.69717175,0.9439818,0.63066536,0.87406945,0.44249526,0.75847745,0.32045045,0.90639454,0.6269089,0.7209305
adt,0.8259676,0.7816471,0.5743004,0.87537456,0.85748667,0.7698737,0.76902556,0.57148105,0.71374303,0.7311323,0.77330357,0.8465365,0.9059756,0.8313103,0.8792517,0.79772747,0.88229775,0.8051448,0.8565399,0.80005896
aei,0.7683609,0.7204415,0.776368,0.66972667,0.67099273,0.75633746,0.7960547,0.69798493,0.7887615,0.7336185,0.84340435,0.8251765,0.76973027,0.7122743,0.82275707,0.7574432,0.7373348,0.8532082,0.7250914,0.75194496
aej,0.655532,0.76384914,0.6860955,0.7619108,0.68412304,0.63937205,0.7032977,0.5754551,0.7442669,0.7500648,0.643228,0.77740026,0.7211565,0.58434,0.66845137,0.6300523,0.8129935,0.73906744,0.6790738,0.72631645
aem,0.8289561,0.7766286,0.7499512,0.87313205,0.75140584,0.77619076,0.7822925,0.8300259,0.79214585,0.7848319,0.73102003,0.87988895,0.86303174,0.7922963,0.90204674,0.81975496,0.764266,0.8615149,0.757299,0.7621589
aes,0.6969187,0.55890805,0.6671009,0.760243,0.70364916,0.60370785,0.6652046,0.6132802,0.7700252,0.7641969,0.6115842,0.81608605,0.6697594,0.68292195,0.6600102,0.67803377,0.69355804,0.82641506,0.71662945,0.69101477
afd,0.7485901,0.7439459,0.73982763,0.6644692,0.66155034,0.73966026,0.66504973,0.73842216,0.7119519,0.6642053,0.80394995,0.68841815,0.8360629,0.72397953,0.6811283,0.69051385,0.77830255,0.71293265,0.61727977,0.7603303
